,DC,EC,good expansion
687,Prostitution,ernstes Problem,0
688,Technologie,Rechtsträger,0
689,Religion,wichtiger Bestandteil ihres täglichen Lebens,0
690,Internet,vereinfachtes Beispiel,0
691,Internet,Quelle ständiger Innovation,0
692,Internet,ähnliche Verbindung,0
693,Kapitalismus,gezielte Einbeziehung der Homosexuellen Gemeinschaft,0
694,Abtreibung,umstrittenes und divisives Thema,0
695,Steuer,Preiskontrolle,0
696,Gesundheitsversorgung,Elemente des Wohlfahrtsstaates,0
697,Fettleibigkeit,großer Risikofaktor,0
698,Prostitution,Geschenk,0
699,Klimawandel,eine globale Frage,0
700,Globalisierung,Prozess,0
701,Gesundheitsversorgung,Gesundheitsfinanzierung,0
702,Mindestlohn,Unternehmen,0
703,Religion,zentrales Thema,0
704,DNA,Duplex,1
705,Steuer,indirekte Steuer,0
706,Religion,monotheistisches Glaubenssystem,1
707,Prostitution,administratives Vergehen,0
708,Klimawandel,konvergierende Katastrophen,0
709,Demokratie,delegativen Demokratie,1
710,Technologie,webbasierte Kollaborationstools,0
711,Fettleibigkeit,Voraussetzung,0
712,Prostitution,Sexualarbeit,1
713,Sport,Formen der körperlichen Bewegung,1
714,Demokratie,universeller Wert,0
715,Globalisierung,Projekt,0
716,Fettleibigkeit,Symptom des Cushing,0
717,Demokratie,Betrug,0
718,Internet,Kraft,0
719,Kapitalismus,Konzept,0
720,Abtreibung,Sünde,0
721,Klimawandel,wichtiger Faktor,0
722,Demokratie,Gerichtsbarkeit,0
723,Flüchtlinge,umfassender und starrer Rechtskodex,0
724,Demokratie,Form der Regierung,1
725,Klimawandel,Beispiel,0
726,Steuer,Steuer,1
727,Sport,Programmierung,0
728,Kunst,begrenztes Thema,0
729,Religion,wichtiger und in vielen Fällen das zentrale Element des indischen Lebens,0
730,Religion,universelles Phänomen,0
731,Gesundheitsversorgung,Erfordernisse,0
732,Gesundheitsversorgung,Weg,1
733,Demokratie,System der demokratischen Regierung,0
734,Religion,Glaube,1
735,Prostitution,Sex Arbeit,1
736,Abtreibung,Frage der Zufriedenheit,0
737,Klimawandel,wichtige Ursache,0
738,Steuer,Graduierung,0
739,Kunst,weiterer Begriff,0
740,Religion,wichtiger Organisationsprinzip,0
741,Sommerferien,Schulreise,0
742,Gesundheitsversorgung,weiterer bestimmender Faktor,0
743,Rauchen,Indikatoren,0
744,Kunst,Theorie,0
745,Euthanasie,kontroverse Angelegenheit,0
746,Technologie,Methode,0
747,Impfstoff,personalisierter Impfstoff,0
748,Fettleibigkeit,Bedingung,1
749,DNA,Schlüssel,0
