,DC,EC,good expansion
908,Internet,packet,0
909,Vaccine,vaccine,1
910,Capital punishment,form of cruel and unusual punishment,0
911,Climate change,list of definitions,0
912,Prostitution,barrier,0
913,Prostitution,major social issue,0
914,Obesity,chronic health problem,1
915,Prostitution,symptom of broader social problems,0
916,Democracy,new approach,0
917,Same-sex marriage,soviet totalitarianism,0
918,Tax,indirect taxes,1
919,Drug,medication,1
920,Tax,ad valorem tax,1
921,Art,form of artwork,0
922,Health care,major goal,0
923,Drug,illegal schedule,0
924,Money,measure of the amount,0
925,Prostitution,form of sex work,0
926,Democracy,separate concept,0
927,Tax,proportional tax,1
928,Bottled water,gallon of water,0
929,Democracy,overarching concept,0
930,Technology,subfield of philosophy,0
931,Patriotism,common project,0
932,Religion,application of the concept,0
933,Art,attempt,0
934,Gender equality,means,0
935,Internet,integral part of modern life,0
936,Technology,emerging field,0
937,Democracy,system of government,1
938,Tax,federal payroll tax,1
939,Same-sex marriage,go,0
940,Abortion,safe procedure,0
941,Climate change,existential threat,0
942,Abortion,minor,0
943,Tax,direct deprivation of citizens property rights,0
944,DNA,important goal of contemporary genome research,0
945,Euthanasia,rational choice,0
946,Technology,period of technological development,0
947,Internet,collection of separate and distinct networks,0
